phase,timestamp,name,category,backend,M,S,shape,avg_ms,status,error
decode,2026-07-01T10:12:29.897650,fused_qkv_a_proj,Attention,aiter,1,2048,"[1,6144]×[2624]",0.020318199694156647,OK,
decode,2026-07-01T10:12:29.897650,q_b_proj,Attention,aiter,1,2048,"[1,2048]×[16384]",0.009882699698209763,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UK,Attention,torch.bmm,1,2048,"bmm [64,1,192]×[512]",0.005123649910092354,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,1,2048,"bmm [64,1,512]×[256]",0.00648764967918396,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,1,2048,"[1,16384]×[6144]",0.04364894926548004,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,1,2048,pytorch_mla batch=1 s_kv=2048,0.03472369909286499,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,1,2048,"[1,6144]×[128]",0.018471449613571167,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,1,2048,"[1,2048]×[4096]",0.007665450125932694,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,1,2048,"[1,6144]×[32]",0.0058166500180959705,OK,
decode,2026-07-01T10:12:29.897650,moe_gate_proj,MoE,aiter,1,2048,"[8,6144]×[2048]",0.018575650453567506,OK,
decode,2026-07-01T10:12:29.897650,moe_up_proj,MoE,aiter,1,2048,"[8,6144]×[2048]",0.01874389946460724,OK,
decode,2026-07-01T10:12:29.897650,moe_down_proj,MoE,aiter,1,2048,"[8,2048]×[6144]",0.009874700009822846,OK,
decode,2026-07-01T10:12:29.897650,fused_qkv_a_proj,Attention,aiter,1,8192,"[1,6144]×[2624]",0.02022614926099777,OK,
decode,2026-07-01T10:12:29.897650,q_b_proj,Attention,aiter,1,8192,"[1,2048]×[16384]",0.009984850138425826,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UK,Attention,torch.bmm,1,8192,"bmm [64,1,192]×[512]",0.005520249903202057,OK,
decode,2026-07-01T10:12:29.897650,absorbed_W_UV,Attention,torch.bmm,1,8192,"bmm [64,1,512]×[256]",0.006848149746656418,OK,
decode,2026-07-01T10:12:29.897650,o_proj,Attention,aiter,1,8192,"[1,16384]×[6144]",0.04394940137863159,OK,
decode,2026-07-01T10:12:29.897650,mla_decode_attn,MLA,pytorch_mla_graph_safe,1,8192,pytorch_mla batch=1 s_kv=8192,0.027595049142837523,OK,
decode,2026-07-01T10:12:29.897650,index_k_proj,DSA Indexer,aiter,1,8192,"[1,6144]×[128]",0.018403400480747224,OK,
decode,2026-07-01T10:12:29.897650,index_q_upproj,DSA Indexer,aiter,1,8192,"[1,2048]×[4096]",0.007959850132465363,OK,
decode,2026-07-01T10:12:29.897650,index_weights_proj,DSA Indexer,torch.mm,1,8192,"[1,6144]×[32]",0.005872749909758568,OK,
