phase,timestamp,name,category,backend,M,S,shape,avg_ms,status,error
prefill,2026-07-01T10:12:57.612115,fused_qkv_a_proj,Attention,aiter,1024,2048,"[1024,6144]×[2624]",0.07404624819755554,OK,
prefill,2026-07-01T10:12:57.612115,q_b_proj,Attention,aiter,1024,2048,"[1024,2048]×[16384]",0.12362405061721801,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UK,Attention,torch.bmm,1024,2048,"bmm [64,1024,192]×[512]",0.0541746973991394,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UV,Attention,torch.bmm,1024,2048,"bmm [64,1024,512]×[256]",0.09063194990158081,OK,
prefill,2026-07-01T10:12:57.612115,o_proj,Attention,aiter,1024,2048,"[1024,16384]×[6144]",0.3052769899368286,OK,
prefill,2026-07-01T10:12:57.612115,mla_prefill_attn,MLA,pytorch_causal,1024,2048,pytorch_causal_attn s_q=1024,0.6811720848083496,OK,
prefill,2026-07-01T10:12:57.612115,index_k_proj,DSA Indexer,aiter,1024,2048,"[2048,6144]×[128] (KV len)",0.049539750814437865,OK,
prefill,2026-07-01T10:12:57.612115,index_q_upproj,DSA Indexer,aiter,1024,2048,"[1024,2048]×[4096]",0.05322625041007996,OK,
prefill,2026-07-01T10:12:57.612115,index_weights_proj,DSA Indexer,torch.mm,1024,2048,"[1024,6144]×[32]",0.010303349792957306,OK,
prefill,2026-07-01T10:12:57.612115,moe_gate_proj,MoE,aiter,1024,2048,"[8192,6144]×[2048]",0.3330668926239014,OK,
prefill,2026-07-01T10:12:57.612115,moe_up_proj,MoE,aiter,1024,2048,"[8192,6144]×[2048]",0.3318279981613159,OK,
prefill,2026-07-01T10:12:57.612115,moe_down_proj,MoE,aiter,1024,2048,"[8192,2048]×[6144]",0.2933286905288696,OK,
prefill,2026-07-01T10:12:57.612115,fused_qkv_a_proj,Attention,aiter,1024,8192,"[1024,6144]×[2624]",0.09278814792633057,OK,
prefill,2026-07-01T10:12:57.612115,q_b_proj,Attention,aiter,1024,8192,"[1024,2048]×[16384]",0.11801019906997681,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UK,Attention,torch.bmm,1024,8192,"bmm [64,1024,192]×[512]",0.05855265259742737,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UV,Attention,torch.bmm,1024,8192,"bmm [64,1024,512]×[256]",0.09162694811820984,OK,
prefill,2026-07-01T10:12:57.612115,o_proj,Attention,aiter,1024,8192,"[1024,16384]×[6144]",0.3124105930328369,OK,
prefill,2026-07-01T10:12:57.612115,mla_prefill_attn,MLA,pytorch_causal,1024,8192,pytorch_causal_attn s_q=1024,0.6877519607543945,OK,
prefill,2026-07-01T10:12:57.612115,index_k_proj,DSA Indexer,aiter,1024,8192,"[8192,6144]×[128] (KV len)",0.1089406967163086,OK,
prefill,2026-07-01T10:12:57.612115,index_q_upproj,DSA Indexer,aiter,1024,8192,"[1024,2048]×[4096]",0.0523930013179779,OK,
prefill,2026-07-01T10:12:57.612115,index_weights_proj,DSA Indexer,torch.mm,1024,8192,"[1024,6144]×[32]",0.010289300233125687,OK,
prefill,2026-07-01T10:12:57.612115,moe_gate_proj,MoE,aiter,1024,8192,"[8192,6144]×[2048]",0.34138925075531007,OK,
prefill,2026-07-01T10:12:57.612115,moe_up_proj,MoE,aiter,1024,8192,"[8192,6144]×[2048]",0.3328125,OK,
prefill,2026-07-01T10:12:57.612115,moe_down_proj,MoE,aiter,1024,8192,"[8192,2048]×[6144]",0.330020809173584,OK,
prefill,2026-07-01T10:12:57.612115,fused_qkv_a_proj,Attention,aiter,2048,2048,"[2048,6144]×[2624]",0.12140475511550904,OK,
prefill,2026-07-01T10:12:57.612115,q_b_proj,Attention,aiter,2048,2048,"[2048,2048]×[16384]",0.18930884599685668,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UK,Attention,torch.bmm,2048,2048,"bmm [64,2048,192]×[512]",0.09008610248565674,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UV,Attention,torch.bmm,2048,2048,"bmm [64,2048,512]×[256]",0.13187135457992555,OK,
prefill,2026-07-01T10:12:57.612115,o_proj,Attention,aiter,2048,2048,"[2048,16384]×[6144]",0.5049262523651123,OK,
prefill,2026-07-01T10:12:57.612115,mla_prefill_attn,MLA,pytorch_causal,2048,2048,pytorch_causal_attn s_q=2048,2.145294952392578,OK,
prefill,2026-07-01T10:12:57.612115,index_k_proj,DSA Indexer,aiter,2048,2048,"[2048,6144]×[128] (KV len)",0.04979014992713928,OK,
prefill,2026-07-01T10:12:57.612115,index_q_upproj,DSA Indexer,aiter,2048,2048,"[2048,2048]×[4096]",0.07368724942207336,OK,
prefill,2026-07-01T10:12:57.612115,index_weights_proj,DSA Indexer,torch.mm,2048,2048,"[2048,6144]×[32]",0.014010399580001831,OK,
prefill,2026-07-01T10:12:57.612115,moe_gate_proj,MoE,aiter,2048,2048,"[16384,6144]×[2048]",0.5971690654754639,OK,
prefill,2026-07-01T10:12:57.612115,moe_up_proj,MoE,aiter,2048,2048,"[16384,6144]×[2048]",0.5894515514373779,OK,
prefill,2026-07-01T10:12:57.612115,moe_down_proj,MoE,aiter,2048,2048,"[16384,2048]×[6144]",0.6117833614349365,OK,
prefill,2026-07-01T10:12:57.612115,fused_qkv_a_proj,Attention,aiter,2048,8192,"[2048,6144]×[2624]",0.11694564819335937,OK,
prefill,2026-07-01T10:12:57.612115,q_b_proj,Attention,aiter,2048,8192,"[2048,2048]×[16384]",0.1881806492805481,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UK,Attention,torch.bmm,2048,8192,"bmm [64,2048,192]×[512]",0.0923354983329773,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UV,Attention,torch.bmm,2048,8192,"bmm [64,2048,512]×[256]",0.13278870582580565,OK,
prefill,2026-07-01T10:12:57.612115,o_proj,Attention,aiter,2048,8192,"[2048,16384]×[6144]",0.5412542819976807,OK,
prefill,2026-07-01T10:12:57.612115,mla_prefill_attn,MLA,pytorch_causal,2048,8192,pytorch_causal_attn s_q=2048,2.139796829223633,OK,
prefill,2026-07-01T10:12:57.612115,index_k_proj,DSA Indexer,aiter,2048,8192,"[8192,6144]×[128] (KV len)",0.1098701000213623,OK,
prefill,2026-07-01T10:12:57.612115,index_q_upproj,DSA Indexer,aiter,2048,8192,"[2048,2048]×[4096]",0.08553234934806823,OK,
prefill,2026-07-01T10:12:57.612115,index_weights_proj,DSA Indexer,torch.mm,2048,8192,"[2048,6144]×[32]",0.014185650646686554,OK,
prefill,2026-07-01T10:12:57.612115,moe_gate_proj,MoE,aiter,2048,8192,"[16384,6144]×[2048]",0.5787797451019288,OK,
prefill,2026-07-01T10:12:57.612115,moe_up_proj,MoE,aiter,2048,8192,"[16384,6144]×[2048]",0.5795282840728759,OK,
prefill,2026-07-01T10:12:57.612115,moe_down_proj,MoE,aiter,2048,8192,"[16384,2048]×[6144]",0.5841221332550048,OK,
prefill,2026-07-01T10:12:57.612115,fused_qkv_a_proj,Attention,aiter,4096,2048,"[4096,6144]×[2624]",0.22040414810180664,OK,
prefill,2026-07-01T10:12:57.612115,q_b_proj,Attention,aiter,4096,2048,"[4096,2048]×[16384]",0.37565429210662843,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UK,Attention,torch.bmm,4096,2048,"bmm [64,4096,192]×[512]",0.1717457056045532,OK,
prefill,2026-07-01T10:12:57.612115,absorbed_W_UV,Attention,torch.bmm,4096,2048,"bmm [64,4096,512]×[256]",0.18816615343093873,OK,
prefill,2026-07-01T10:12:57.612115,o_proj,Attention,aiter,4096,2048,"[4096,16384]×[6144]",0.9451211929321289,OK,
prefill,2026-07-01T10:12:57.612115,mla_prefill_attn,MLA,pytorch_causal,4096,2048,pytorch_causal_attn s_q=4096,7.99926986694336,OK,
prefill,2026-07-01T10:12:57.612115,index_k_proj,DSA Indexer,aiter,4096,2048,"[2048,6144]×[128] (KV len)",0.050096601247787476,OK,
prefill,2026-07-01T10:12:57.612115,index_q_upproj,DSA Indexer,aiter,4096,2048,"[4096,2048]×[4096]",0.1339579463005066,OK,
