benchmark,proj,dist_idx,total_m,K,N,m_min,m_max,m_avg,avg_ms,tflops,tbps,fpb,m_per_expert,status
moe_deepgemm,gate_proj,0,1024,6144,2048,12,18,16,0.17997095584869385,143.18868094285907,0.6175944083635685,231.8490566037736,"[15, 17, 16, 18, 17, 15, 18, 12]",OK
moe_deepgemm,gate_proj,1,1024,6144,2048,11,20,16,0.18305360078811644,140.7773661105329,0.6071940432827346,231.8490566037736,"[14, 16, 11, 20, 15, 17, 15, 20]",OK
moe_deepgemm,gate_proj,2,1024,6144,2048,10,22,16,0.1816214442253113,141.88745104367274,0.6119820072684453,231.8490566037736,"[16, 21, 16, 22, 14, 13, 10, 16]",OK
moe_deepgemm,gate_proj,3,1024,6144,2048,11,25,16,0.1830335021018982,140.79282470185956,0.607260718522018,231.8490566037736,"[15, 18, 25, 11, 14, 16, 17, 12]",OK
moe_deepgemm,gate_proj,4,1024,6144,2048,10,21,16,0.6417530536651611,40.15532708231657,0.1731959908335594,231.8490566037736,"[21, 10, 16, 19, 18, 16, 14, 14]",OK
moe_deepgemm,up_proj,0,1024,6144,2048,12,18,16,0.7350004196166993,35.06093750183011,0.15122311910782843,231.8490566037736,"[15, 17, 16, 18, 17, 15, 18, 12]",OK
moe_deepgemm,up_proj,1,1024,6144,2048,11,20,16,0.928309440612793,27.759928584792707,0.11973276489209095,231.8490566037736,"[14, 16, 11, 20, 15, 17, 15, 20]",OK
moe_deepgemm,up_proj,2,1024,6144,2048,10,22,16,0.9336733818054199,27.60044816332838,0.11904490174612663,231.8490566037736,"[16, 21, 16, 22, 14, 13, 10, 16]",OK
moe_deepgemm,up_proj,3,1024,6144,2048,11,25,16,0.5940017223358154,43.38338224789051,0.18711908033351213,231.8490566037736,"[15, 18, 25, 11, 14, 16, 17, 12]",OK
moe_deepgemm,up_proj,4,1024,6144,2048,10,21,16,0.45180325508117675,57.037667361139015,0.2460120743929336,231.8490566037736,"[21, 10, 16, 19, 18, 16, 14, 14]",OK
moe_deepgemm,down_proj,0,1024,2048,6144,12,18,16,0.6298012733459473,40.91735737384696,0.1831424687143215,223.4181818181818,"[15, 17, 16, 18, 17, 15, 18, 12]",OK
moe_deepgemm,down_proj,1,1024,2048,6144,11,20,16,0.8659001350402832,29.760711118033427,0.13320630790135404,223.4181818181818,"[14, 16, 11, 20, 15, 17, 15, 20]",OK
moe_deepgemm,down_proj,2,1024,2048,6144,10,22,16,2.3349836349487303,11.036395883162509,0.0493979307921499,223.4181818181818,"[16, 21, 16, 22, 14, 13, 10, 16]",OK
moe_deepgemm,down_proj,3,1024,2048,6144,11,25,16,1.296115016937256,19.88234334086687,0.08899160837790347,223.4181818181818,"[15, 18, 25, 11, 14, 16, 17, 12]",OK
moe_deepgemm,down_proj,4,1024,2048,6144,10,21,16,1.3027825355529785,19.780587375668002,0.08853615768731608,223.4181818181818,"[21, 10, 16, 19, 18, 16, 14, 14]",OK
